ID,BLOCK
1030,1
1016,1
1025,1
1022,1
1033,1
1032,1
1031,1
1024,1
1021,1
1023,1
1020,1
1029,1
1028,1
1027,1
1026,1
1019,1
1018,1
1017,1
1010,2
1012,2
1013,2
1014,2
1015,2
1008,2
1041,2
1007,2
1006,2
1005,2
1011,2
1034,2
1040,2
1039,2
1038,2
1037,2
1036,2
1035,2
1009,2
993,3
992,3
991,3
1048,3
1047,3
1046,3
995,3
996,3
997,3
998,3
999,3
1000,3
1002,3
1003,3
1049,3
1004,3
1042,3
1043,3
1044,3
1045,3
994,3
1001,3
990,4
989,4
988,4
987,4
986,4
985,4
984,4
983,4
982,4
981,4
979,4
1059,4
1058,4
1057,4
1056,4
1055,4
1054,4
1053,4
1052,4
1051,4
1050,4
973,4
974,4
975,4
976,4
977,4
978,4
980,4
961,5
965,5
1060,5
967,5
968,5
952,5
953,5
954,5
955,5
956,5
957,5
958,5
959,5
960,5
970,5
966,5
971,5
972,5
1061,5
1062,5
1063,5
1064,5
1065,5
1066,5
1067,5
1068,5
969,5
964,5
963,5
962,5
951,6
1074,6
1073,6
917,6
918,6
919,6
920,6
921,6
922,6
923,6
924,6
925,6
926,6
927,6
928,6
929,6
930,6
931,6
932,6
933,6
934,6
935,6
936,6
937,6
938,6
939,6
940,6
941,6
942,6
943,6
944,6
945,6
946,6
947,6
949,6
1072,6
1071,6
1070,6
1069,6
948,6
950,6
1076,6
1075,6
884,7
883,7
882,7
881,7
880,7
879,7
878,7
877,7
876,7
875,7
874,7
873,7
872,7
871,7
1083,7
1082,7
1081,7
1080,7
1079,7
1078,7
1077,7
906,7
916,7
915,7
914,7
913,7
912,7
911,7
910,7
909,7
908,7
907,7
905,7
904,7
903,7
902,7
901,7
900,7
899,7
898,7
897,7
896,7
895,7
894,7
893,7
892,7
891,7
890,7
889,7
888,7
887,7
886,7
885,7
837,8
846,8
847,8
849,8
850,8
851,8
852,8
853,8
854,8
855,8
856,8
857,8
858,8
859,8
860,8
861,8
862,8
863,8
864,8
865,8
866,8
867,8
868,8
869,8
870,8
1084,8
1085,8
1086,8
1087,8
1088,8
1089,8
1090,8
848,8
845,8
844,8
842,8
835,8
841,8
840,8
839,8
838,8
836,8
830,8
831,8
832,8
833,8
843,8
834,8
823,9
822,9
821,9
820,9
819,9
818,9
817,9
1091,9
815,9
814,9
813,9
812,9
811,9
810,9
808,9
807,9
806,9
802,9
801,9
803,9
809,9
1092,9
1093,9
1094,9
1095,9
829,9
816,9
824,9
825,9
826,9
827,9
828,9
790,10
789,10
788,10
805,10
804,10
800,10
799,10
798,10
797,10
1097,10
796,10
1098,10
1099,10
1100,10
1096,10
795,10
794,10
793,10
792,10
791,10
1101,10
783,11
782,11
776,11
1104,11
781,11
780,11
775,11
778,11
1102,11
1103,11
1105,11
779,11
777,11
787,11
786,11
785,11
784,11
1106,11
1112,12
773,12
764,12
763,12
772,12
771,12
774,12
770,12
769,12
768,12
767,12
1110,12
1111,12
766,12
765,12
1107,12
1108,12
1109,12
756,13
755,13
754,13
1115,13
753,13
752,13
1113,13
1114,13
1117,13
762,13
761,13
760,13
759,13
758,13
757,13
1116,13
1122,14
1118,14
749,14
746,14
747,14
751,14
1120,14
1121,14
1119,14
748,14
743,14
744,14
745,14
750,14
1127,15
1125,15
1124,15
1123,15
1126,15
740,15
739,15
738,15
737,15
736,15
734,15
735,15
733,15
741,15
742,15
731,16
732,16
726,16
725,16
727,16
728,16
729,16
730,16
1128,16
1129,16
1130,16
1131,16
723,17
721,17
720,17
719,17
718,17
717,17
724,17
722,17
1132,17
1133,17
1134,17
1135,17
1136,17
710,18
711,18
712,18
714,18
715,18
713,18
716,18
709,18
1137,18
1139,18
1140,18
1141,18
1138,18
702,19
1146,19
705,19
1145,19
1144,19
1143,19
1142,19
708,19
707,19
706,19
704,19
703,19
699,20
700,20
1149,20
1151,20
1150,20
701,20
698,20
695,20
696,20
697,20
1147,20
1148,20
1154,21
692,21
693,21
689,21
688,21
1152,21
1156,21
1155,21
694,21
691,21
1153,21
690,21
1158,22
1159,22
1160,22
1161,22
682,22
681,22
683,22
684,22
685,22
686,22
687,22
1157,22
1162,23
1166,23
1165,23
1164,23
1163,23
675,23
676,23
677,23
678,23
680,23
679,23
674,23
1167,24
1171,24
668,24
667,24
1168,24
1169,24
1170,24
1172,24
673,24
672,24
671,24
670,24
669,24
664,25
665,25
1175,25
1176,25
1177,25
1174,25
660,25
661,25
662,25
663,25
666,25
1173,25
1178,26
1179,26
659,26
658,26
1180,26
657,26
1182,26
1181,26
656,26
655,26
654,26
653,26
652,26
1183,27
645,27
646,27
1188,27
1187,27
1186,27
1185,27
1184,27
651,27
650,27
649,27
648,27
647,27
1193,28
1192,28
644,28
1190,28
1189,28
639,28
637,28
638,28
640,28
642,28
641,28
643,28
1191,28
634,29
635,29
636,29
633,29
632,29
631,29
630,29
1198,29
1197,29
1196,29
1195,29
1194,29
626,30
1202,30
1201,30
1200,30
1199,30
1204,30
623,30
624,30
625,30
627,30
628,30
629,30
1203,30
619,31
618,31
617,31
1205,31
616,31
1206,31
622,31
620,31
1209,31
1208,31
1207,31
621,31
609,32
613,32
1214,32
1213,32
1212,32
1211,32
608,32
610,32
611,32
612,32
1210,32
614,32
615,32
1215,33
605,33
604,33
603,33
606,33
602,33
601,33
607,33
1216,33
1217,33
1218,33
1219,33
1223,34
594,34
595,34
596,34
597,34
598,34
599,34
600,34
1221,34
1220,34
1222,34
1224,34
1225,34
591,35
592,35
588,35
593,35
589,35
590,35
1230,35
1226,35
1227,35
1228,35
1229,35
587,36
586,36
585,36
584,36
583,36
582,36
581,36
1231,36
1232,36
1233,36
1234,36
575,37
579,37
1235,37
580,37
1236,37
577,37
1238,37
1239,37
576,37
1237,37
574,37
